50,元大台灣50,16343906,1907311237,116.65,116.95,116.35,116.7,0,11202
51,元大中型100,146795,7680735,52,52.4,52,52.4,0.4,186
52,富邦科技,240148,24006191,100,100.25,99.8,99.85,-0.15,417
53,元大電子,6065,337166,55.7,55.75,55.7,55.75,0.05,953
55,元大MSCI金融,162356,3516194,21.66,21.7,21.6,21.68,0.06,278
56,元大高股息,20108679,514107140,25.57,25.65,25.5,25.52,-0.02,13035
57,富邦摩台,2881,238055,82.9,82.95,82.9,82.95,0.05,882
61,元大寶滬深,58206,1018956,17.73,17.73,17.45,17.57,-0.01,1019
6203,元大MSCI台灣,4129,231491,56.2,56.45,56.05,56.45,0.25,657
6204,永豐臺灣加權,25208,1865388,73.9,74.15,73.9,74.05,0.15,923
6205,富邦上証,290210,8589368,29.72,29.85,29.48,29.67,-0.05,139
6206,元大上證50,33488,939174,28.15,28.15,27.9,28.12,0,30
6207,FH滬深,167132,3857616,23.12,23.13,23,23.09,-0.07,16
6208,富邦台50,3068386,202127387,65.9,66.05,65.7,65.8,-0.1,4323
00625K,富邦上証+R,,,,,,,0,
00631L,元大台灣50正2,8722157,883069879,101.05,101.9,100.75,100.8,-0.75,1998
00632R,元大台灣50反1,155247265,886474239,5.7,5.73,5.69,5.73,0.04,5550
00633L,富邦上証正2,6002209,208475282,34.67,35.1,34.2,34.97,0.53,1535
00634R,富邦上証反1,445103,2146361,4.87,4.87,4.8,4.82,-0.04,31
00635U,期元大S&P黃金,164169,3746512,22.77,22.86,22.76,22.82,0,76
636,國泰中國A50,473634,9225366,19.62,19.62,19.38,19.53,-0.03,769
00636K,國泰中國A50+U,200,1266,6.33,6.33,6.33,6.33,0,2
00637L,元大滬深300正2,50936824,696128014,13.61,13.8,13.45,13.76,0.21,6093
00638R,元大滬深300反1,104000,1065690,10.32,10.33,10.18,10.19,-0.13,40
639,富邦深100,217776,2555894,11.82,11.82,11.7,11.73,-0.07,155
00640L,富邦日本正2,76400,2332700,30.62,30.62,30.4,30.51,-0.11,26
00641R,富邦日本反1,361000,3375350,9.34,9.36,9.34,9.34,0.01,24
00642U,期元大S&P石油,3403463,57393719,16.85,16.91,16.82,16.9,0.13,796
643,群益深証中小,451392,6454073,14.58,14.58,14.25,14.28,-0.16,987
00643K,群益深証中小+R,,,,,,,0,
645,富邦日本,36297,974498,26.97,26.97,26.8,26.85,-0.12,1078
646,元大S&P500,373531,14383060,38.66,38.66,38.41,38.43,-0.17,421
00647L,元大S&P500正2,138170,7679853,55.65,55.65,55.5,55.5,-0.15,39
00648R,元大S&P500反1,746000,5402180,7.25,7.25,7.23,7.23,-0.02,96
00650L,FH香港正2,7929209,87484658,11.24,11.27,10.92,11.01,-0.16,1279
00651R,FH香港反1,236000,2288540,9.61,9.74,9.61,9.67,0.02,52
