(('大明', '大花'), ('小明', '小花'))
(('大明', '大花'), ('小明', '小寶'))
(('大明', '大花'), ('小明', '小頭'))
(('大明', '大花'), ('小花', '小寶'))
(('大明', '大花'), ('小花', '小頭'))
(('大明', '大花'), ('小寶', '小頭'))
(('大明', '大寶'), ('小明', '小花'))
(('大明', '大寶'), ('小明', '小寶'))
(('大明', '大寶'), ('小明', '小頭'))
(('大明', '大寶'), ('小花', '小寶'))
(('大明', '大寶'), ('小花', '小頭'))
(('大明', '大寶'), ('小寶', '小頭'))
(('大明', '大頭'), ('小明', '小花'))
(('大明', '大頭'), ('小明', '小寶'))
(('大明', '大頭'), ('小明', '小頭'))
(('大明', '大頭'), ('小花', '小寶'))
(('大明', '大頭'), ('小花', '小頭'))
(('大明', '大頭'), ('小寶', '小頭'))
(('大花', '大寶'), ('小明', '小花'))
(('大花', '大寶'), ('小明', '小寶'))
(('大花', '大寶'), ('小明', '小頭'))
(('大花', '大寶'), ('小花', '小寶'))
(('大花', '大寶'), ('小花', '小頭'))
(('大花', '大寶'), ('小寶', '小頭'))
(('大花', '大頭'), ('小明', '小花'))
(('大花', '大頭'), ('小明', '小寶'))
(('大花', '大頭'), ('小明', '小頭'))
(('大花', '大頭'), ('小花', '小寶'))
(('大花', '大頭'), ('小花', '小頭'))
(('大花', '大頭'), ('小寶', '小頭'))
(('大寶', '大頭'), ('小明', '小花'))
(('大寶', '大頭'), ('小明', '小寶'))
(('大寶', '大頭'), ('小明', '小頭'))
(('大寶', '大頭'), ('小花', '小寶'))
(('大寶', '大頭'), ('小花', '小頭'))
(('大寶', '大頭'), ('小寶', '小頭'))
